UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/03/15T00:00:45z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,43,13,1002.99,0.05,36504,0,733,3.88,5.81,6.28,3.88,5.81,6.28,24,24,713.69,196.91,35.74,1.48,0.41,0.38,4.07,8.62,10.34,4.07,8.62,10.34,36,36,767.53,226.71,56.05,7.64,1.72,0,
2023/03/15T00:02:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,43,14,1002.98,0.05,36504,0,849,4.22,6.44,7.76,4.22,6.44,7.76,27,27,720.61,204.63,41.42,2.85,0.68,0.37,4.03,7.43,8.03,4.03,7.43,8.03,31,31,719.07,214.34,41.81,5,0.62,0.34,
2023/03/15T00:04:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,42,13,1003.03,0.05,36504,0,969,4.28,7.9,10.38,4.28,7.9,10.38,33,33,758.28,215.09,45.17,7.86,2.34,1.52,4.73,7.45,8.11,4.73,7.45,8.11,31,31,776.89,226.98,41.67,4,0.07,0,
2023/03/15T00:06:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,43,13,1003.05,0.05,36504,0,1089,4.21,7.68,9.7,4.21,7.68,9.7,32,32,727.88,205.82,47.41,5.93,1.5,0.71,4.05,7,8.79,4.05,7,8.79,29,29,743.42,218.79,38.77,5.54,2.14,0.42,
2023/03/15T00:08:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,43,14,1003.03,0.05,36504,0,1209,4.56,6.96,8.2,4.56,6.96,8.2,29,29,747.71,213.07,30.24,4.29,0.87,0.62,5.41,8.72,10.31,5.41,8.72,10.31,36,36,863.07,256.22,51.17,4.9,2,0.38,
2023/03/15T00:10:50z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,43,14,1002.99,nan,36656,0,129,4.88,8.61,10,4.88,8.61,10,36,36,822,235.12,57.93,4.2,0.73,0.05,5.54,9.78,11.63,5.54,9.78,11.63,41,41,943.76,273.73,56.22,5.61,1.46,0.98,
2023/03/15T00:12:50z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,43,14,1002.97,0.05,36568,0,249,3.58,5.69,8.04,3.58,5.69,8.04,24,24,654.76,189.67,35.65,4.22,2.29,0.62,5.14,9,11.9,5.14,9,11.9,38,38,861.78,252.74,59.55,7.52,3.38,0.52,
2023/03/15T00:14:50z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,43,14,1002.95,0.05,36568,0,369,4.24,7.72,9.84,4.24,7.72,9.84,32,32,741.47,209.45,45.55,5.66,1.72,0.45,3.75,7.7,9.46,3.75,7.7,9.46,32,32,753.8,217.29,46.39,7.68,1.61,0.75,
2023/03/15T00:16:50z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,43,14,1002.96,0.05,36568,0,489,3.72,6.75,7.95,3.72,6.75,7.95,28,28,695.8,199.55,39.78,4.4,0.63,0.17,3.71,7.53,10.15,3.71,7.53,10.15,31,31,749.4,216.95,44.45,7.2,3.35,0.62,
2023/03/15T00:18:50z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,43,14,1002.95,0.05,36568,0,609,3.82,5.95,7.68,3.82,5.95,7.68,25,25,711.11,196.81,42.18,3.09,1.05,0,4.67,7.65,9.95,4.67,7.65,9.95,32,32,781.95,228,44.42,6.18,2.6,1.05,
